UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
100654,5,R,589,R,208,R,381,R,2,R,1,R,536,R,7,R,0,R,24,R,6,R,7,R,6,R,0,R,473,R,105,R,11,R,0
100654,7,R,229,R,65,R,164,R,0,R,0,R,146,R,0,R,0,R,7,R,0,R,60,R,16,R,0,R,42,R,159,R,28,R,0
100654,9,R,11,R,4,R,7,R,1,R,1,R,3,R,0,R,0,R,0,R,0,R,2,R,4,R,0,R,0,R,6,R,5,R,0
100654,10,R,1,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0
100663,2,R,66,R,26,R,40,R,1,R,8,R,10,R,3,R,0,R,41,R,2,R,1,R,0,R,0,R,47,R,14,R,5,R,0
100663,5,R,2911,R,1085,R,1826,R,5,R,254,R,620,R,183,R,1,R,1594,R,150,R,16,R,88,R,0,R,2069,R,701,R,141,R,0
100663,7,R,2470,R,929,R,1541,R,3,R,121,R,319,R,55,R,0,R,1130,R,48,R,226,R,568,R,0,R,480,R,1644,R,346,R,0
100663,9,R,791,R,274,R,517,R,1,R,75,R,85,R,25,R,0,R,502,R,25,R,31,R,47,R,0,R,5,R,701,R,85,R,0
100663,10,R,350,R,91,R,259,R,0,R,16,R,82,R,10,R,0,R,180,R,6,R,37,R,19,R,0,R,16,R,219,R,115,R,0
100663,12,R,58,R,24,R,34,R,0,R,3,R,14,R,3,R,0,R,38,R,0,R,0,R,0,R,0,R,30,R,27,R,1,Z,0
100690,3,R,44,R,13,R,31,Z,0,Z,0,R,35,Z,0,Z,0,R,8,Z,0,R,1,Z,0,Z,0,R,5,R,25,R,14,Z,0
100690,5,R,46,R,17,R,29,Z,0,Z,0,R,32,Z,0,Z,0,R,11,Z,0,R,3,Z,0,Z,0,R,3,R,19,R,24,Z,0
100690,7,R,80,R,43,R,37,R,1,R,1,R,37,R,3,R,1,R,34,Z,0,R,3,Z,0,Z,0,R,1,R,34,R,45,Z,0
100690,9,R,20,R,10,R,10,R,1,Z,0,R,9,R,3,Z,0,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,15,Z,0
100706,5,R,1451,R,813,R,638,R,19,R,63,R,126,R,75,R,4,R,1041,R,60,R,40,R,23,R,0,R,1149,R,268,R,34,R,0
100706,7,R,598,R,305,R,293,R,2,R,24,R,44,R,27,R,0,R,351,R,12,R,22,R,116,R,0,R,153,R,366,R,79,R,0
100706,9,R,73,R,40,R,33,R,0,R,0,R,11,R,3,R,0,R,37,R,0,R,9,R,13,R,0,R,0,R,48,R,25,R,0
100706,10,R,28,R,13,R,15,R,0,R,0,R,5,R,1,R,0,R,20,R,1,R,1,R,0,R,0,R,3,R,13,R,12,R,0
100706,12,R,7,R,2,R,5,R,0,R,0,R,1,R,1,R,0,R,4,R,1,R,0,R,0,R,0,R,4,R,3,R,0,R,0
100724,5,R,467,R,138,R,329,R,1,R,0,R,426,R,5,R,2,R,9,R,8,R,4,R,12,R,0,R,361,R,96,R,10,R,0
100724,7,R,167,R,55,R,112,R,0,R,1,R,133,R,1,R,0,R,24,R,1,R,2,R,5,R,0,R,43,R,100,R,24,R,0
100724,9,R,30,R,7,R,23,R,0,R,1,R,18,R,0,R,0,R,8,R,1,R,0,R,2,R,0,R,0,R,27,R,3,R,0
100751,2,R,5,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,0,R,1,R,0,R,0,R,5,R,0,R,0,R,0
100751,5,R,6521,R,2695,R,3826,R,16,R,110,R,591,R,334,R,5,R,5165,R,198,R,35,R,67,R,0,R,5902,R,473,R,146,R,0
100751,7,R,1978,R,692,R,1286,R,3,R,34,R,226,R,80,R,2,R,1453,R,33,R,22,R,125,R,1,R,910,R,811,R,256,R,0
100751,9,R,453,R,201,R,252,R,1,R,9,R,51,R,13,R,2,R,289,R,14,R,6,R,68,R,0,R,65,R,304,R,84,R,0
100751,10,R,122,R,19,R,103,R,0,R,1,R,20,R,5,R,0,R,82,R,4,R,2,R,8,R,0,R,9,R,60,R,53,R,0
100760,2,R,98,R,14,R,84,R,0,R,0,R,23,R,4,R,0,R,64,R,6,R,0,R,1,R,0,R,36,R,50,R,12,R,0
100760,3,R,190,R,66,R,124,R,0,R,2,R,40,R,3,R,0,R,140,R,2,R,1,R,2,R,1,R,118,R,59,R,12,R,0
100760,12,R,178,R,81,R,97,R,0,R,2,R,34,R,3,R,0,R,135,R,3,R,0,R,1,R,2,R,125,R,37,R,14,R,0
100812,5,R,721,R,192,R,529,R,16,R,3,R,73,R,38,R,1,R,562,R,18,R,7,R,3,R,0,R,273,R,324,R,124,Z,0
100812,7,R,157,R,57,R,100,R,4,R,5,R,40,R,6,R,0,R,92,R,8,R,2,R,0,R,0,R,8,R,84,R,65,Z,0
100812,10,R,2,R,0,R,2,R,0,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,2,Z,0
100812,12,R,17,R,3,R,14,R,0,R,0,R,2,R,2,R,0,R,12,R,1,R,0,R,0,R,0,R,2,R,11,R,4,Z,0
100830,5,R,633,R,195,R,438,R,0,R,21,R,258,R,7,R,1,R,293,R,21,R,6,R,26,R,0,R,409,R,192,R,32,R,0
100830,7,R,659,R,397,R,262,R,0,R,6,R,93,R,3,R,0,R,117,R,3,R,11,R,426,R,0,R,207,R,404,R,48,R,0
100830,9,R,6,R,0,R,6,R,0,R,0,R,1,R,0,R,0,R,4,R,0,R,1,R,0,R,0,R,0,R,1,R,5,R,0
100830,10,R,34,R,10,R,24,R,0,R,0,R,12,R,1,R,0,R,18,R,0,R,3,R,0,R,0,R,0,R,20,R,14,R,0
