UNITID,AWLEVELC,CSTOTLT,YEAR
100654,5,560,2019
100654,7,244,2019
100654,9,6,2019
100663,2,76,2019
100663,5,2523,2019
100663,7,2197,2019
100663,9,565,2019
100663,10,195,2019
100690,3,44,2019
100690,5,42,2019
100690,7,72,2019
100690,9,14,2019
100706,1,12,2019
100706,5,1305,2019
100706,7,528,2019
100706,9,72,2019
100706,10,40,2019
100724,5,510,2019
100724,7,120,2019
100724,9,27,2019
100724,10,6,2019
100751,5,6848,2019
100751,7,1742,2019
100751,9,416,2019
100751,10,20,2019
100760,1,45,2019
100760,2,83,2019
100760,3,210,2019
100812,5,678,2019
100812,7,63,2019
100830,1,5,2019
100830,5,662,2019
100830,7,189,2019
100830,10,22,2019
100858,1,2,2019
100858,5,5156,2019
100858,7,1328,2019
100858,9,521,2019
100858,10,255,2019
100937,5,340,2019
101028,1,148,2019
101028,2,60,2019
101028,3,262,2019
101116,3,39,2019
101116,5,52,2019
101116,7,25,2019
101116,9,7,2019
101143,1,149,2019
101143,2,2,2019
101143,3,180,2019
101161,1,271,2019
101161,2,160,2019
101161,3,742,2019
101189,3,15,2019
101189,5,497,2019
101189,7,214,2019
101189,9,65,2019
101240,1,172,2019
101240,2,244,2019
101240,3,727,2019
101277,1,2,2019
101277,2,50,2019
101286,1,520,2019
101286,2,203,2019
101286,3,598,2019
101295,1,892,2019
101295,2,332,2019
101295,3,979,2019
101301,1,3,2019
101301,2,157,2019
101301,3,209,2019
101365,1,23,2019
101365,2,87,2019
101365,3,107,2019
101365,5,8,2019
101365,7,9,2019
101435,5,254,2019
101453,5,5,2019
101453,7,5,2019
101462,1,81,2019
101462,2,16,2019
101462,3,84,2019
101471,1,462,2019
101471,2,89,2019
101480,5,1308,2019
101480,7,361,2019
101480,9,3,2019
101480,10,41,2019
101505,1,239,2019
101505,2,220,2019
101505,3,865,2019
101514,1,746,2019
101514,2,168,2019
101514,3,1079,2019
101541,3,10,2019
101541,5,48,2019
101569,1,192,2019
101569,2,175,2019
101569,3,337,2019
101587,3,57,2019
101587,5,319,2019
101587,7,848,2019
101587,10,140,2019
101602,1,189,2019
101602,2,67,2019
101602,3,294,2019
101648,3,124,2019
101675,5,230,2019
101693,3,3,2019
101693,5,266,2019
101693,7,72,2019
101709,5,449,2019
101709,7,113,2019
101709,10,19,2019
101736,1,236,2019
101736,2,161,2019
101736,3,423,2019
101879,5,1125,2019
101879,7,439,2019
101879,10,52,2019
101897,1,796,2019
101897,2,80,2019
101897,3,453,2019
101912,3,1,2019
101912,5,288,2019
101912,7,10,2019
101912,10,30,2019
101994,1,17,2019
101994,2,57,2019
101994,3,28,2019
102030,1,302,2019
102030,2,136,2019
102030,3,378,2019
102049,2,8,2019
102049,5,815,2019
102049,7,305,2019
102049,9,381,2019
102049,10,21,2019
102058,3,5,2019
102058,5,13,2019
102058,7,2,2019
102067,1,114,2019
102067,2,120,2019
102067,3,577,2019
102076,1,87,2019
102076,2,23,2019
102076,3,423,2019
102094,1,87,2019
102094,2,18,2019
102094,5,1896,2019
102094,7,1118,2019
102094,9,336,2019
102094,10,99,2019
102234,5,272,2019
102234,7,26,2019
102234,10,13,2019
102270,5,93,2019
102298,5,101,2019
102313,1,117,2019
102313,2,54,2019
102313,3,183,2019
102368,1,2,2019
102368,3,295,2019
102368,5,2372,2019
102368,7,1111,2019
102368,9,25,2019
102368,10,34,2019
102377,5,394,2019
102377,7,102,2019
102377,9,54,2019
102395,5,15,2019
102395,7,39,2019
102395,9,17,2019
102429,1,360,2019
102429,2,194,2019
102429,3,472,2019
102553,1,57,2019
102553,2,53,2019
102553,3,780,2019
102553,5,1142,2019
102553,7,217,2019
102553,9,6,2019
102553,10,41,2019
102580,2,1,2019
102580,5,5,2019
102614,1,86,2019
102614,2,180,2019
102614,3,247,2019
102614,5,595,2019
102614,7,210,2019
102614,9,37,2019
102614,10,50,2019
102632,1,131,2019
102632,2,45,2019
102632,3,93,2019
102632,5,113,2019
102632,7,129,2019
102632,10,42,2019
102669,3,2,2019
102669,5,53,2019
102669,7,47,2019
102669,9,5,2019
102669,10,12,2019
102711,1,37,2019
102711,2,125,2019
102845,2,1561,2019
102845,3,321,2019
102845,5,37,2019
103501,1,69,2019
103501,2,160,2019
103501,3,36,2019
103741,1,1,2019
103741,2,45,2019
103893,1,138,2019
103893,2,649,2019
103893,3,235,2019
103945,3,22,2019
103954,1,20,2019
103954,2,17,2019
103963,1,58,2019
103963,2,359,2019
104090,1,252,2019
104090,3,54,2019
104090,5,146,2019
104090,7,8,2019
104151,1,921,2019
104151,5,9598,2019
104151,7,2647,2019
104151,9,524,2019
104151,10,26,2019
104160,1,511,2019
104160,2,614,2019
104160,3,770,2019
104179,1,123,2019
104179,5,7368,2019
104179,7,2066,2019
104179,9,978,2019
104179,10,179,2019
104188,5,18,2019
104188,7,1,2019
104346,1,381,2019
104346,2,427,2019
104346,3,582,2019
104391,1,5,2019
104391,2,12,2019
104425,1,242,2019
104425,2,339,2019
104425,3,1551,2019
104434,2,27,2019
104443,1,3,2019
104443,2,27,2019
104568,1,99,2019
104568,2,126,2019
104577,1,796,2019
104577,2,189,2019
104577,3,572,2019
104586,5,453,2019
104586,7,21,2019
104665,7,7,2019
104708,1,627,2019
104708,2,1575,2019
104708,3,1807,2019
104717,1,10,2019
104717,5,11283,2019
104717,7,11653,2019
104717,9,512,2019
104717,10,347,2019
105145,1,490,2019
105145,2,291,2019
105145,3,651,2019
105154,1,565,2019
105154,2,1452,2019
105154,3,1918,2019
105206,1,86,2019
105206,2,270,2019
105206,3,322,2019
105215,2,533,2019
105297,1,17,2019
105297,2,2,2019
105297,3,122,2019
105297,5,41,2019
105330,1,453,2019
105330,2,51,2019
105330,5,5975,2019
105330,7,1248,2019
105330,9,194,2019
105330,10,129,2019
105349,1,355,2019
105349,2,85,2019
105349,3,179,2019
105367,5,122,2019
105367,7,117,2019
105428,1,203,2019
105428,2,801,2019
105428,3,1035,2019
105525,1,1185,2019
105525,2,1753,2019
105525,3,2102,2019
105534,1,207,2019
105534,2,389,2019
105534,3,419,2019
105534,5,332,2019
105543,1,91,2019
105543,2,266,2019
105543,3,110,2019
105589,5,104,2019
105589,7,86,2019
105589,9,9,2019
105589,10,16,2019
105659,1,131,2019
105659,2,497,2019
105659,3,46,2019
105668,1,2554,2019
105668,2,881,2019
105668,3,669,2019
105677,1,34,2019
105747,1,86,2019
105747,2,576,2019
105747,3,841,2019
105792,1,63,2019
105792,2,339,2019
105792,3,371,2019
105899,3,2,2019
105899,5,137,2019
106041,2,240,2019
106041,3,830,2019
106111,1,1,2019
106111,2,42,2019
106148,1,719,2019
106148,2,342,2019
106148,3,534,2019
106245,1,25,2019
106245,2,5,2019
106245,3,400,2019
106245,5,1260,2019
106245,7,519,2019
106245,9,160,2019
106245,10,140,2019
106263,2,1,2019
106263,3,56,2019
106263,5,245,2019
106263,7,224,2019
106263,9,327,2019
106263,10,38,2019
106306,3,18,2019
106306,5,22,2019
106315,1,51,2019
106315,2,15,2019
106324,1,4,2019
106324,2,11,2019
106342,5,124,2019
106351,1,9,2019
106351,2,26,2019
106360,2,15,2019
106397,1,5,2019
106397,5,4834,2019
106397,7,1102,2019
106397,9,331,2019
106397,10,198,2019
106412,3,3,2019
106412,5,433,2019
106412,7,25,2019
106412,9,1,2019
106449,1,270,2019
106449,2,477,2019
106449,3,527,2019
106458,1,9,2019
106458,3,539,2019
106458,5,1805,2019
106458,7,1908,2019
106458,9,65,2019
106458,10,637,2019
106467,1,896,2019
106467,2,230,2019
106467,3,1022,2019
106467,5,1281,2019
106467,7,294,2019
106467,9,21,2019
106467,10,50,2019
106485,1,288,2019
106485,2,153,2019
106485,3,379,2019
106485,5,429,2019
106485,7,135,2019
106494,1,1,2019
106494,2,18,2019
106546,2,152,2019
106546,3,265,2019
106625,1,227,2019
106625,2,110,2019
106625,3,199,2019
106704,3,71,2019
106704,5,1741,2019
106704,7,528,2019
106704,9,66,2019
106704,10,52,2019
106713,3,9,2019
106713,5,124,2019
106795,1,173,2019
106795,2,225,2019
106795,3,129,2019
106810,3,10,2019
106810,5,14,2019
106883,1,125,2019
106883,2,230,2019
106883,3,117,2019
106892,1,219,2019
106908,1,5,2019
106908,2,218,2019
106980,1,101,2019
106980,2,251,2019
106980,3,296,2019
106999,1,239,2019
106999,2,125,2019
106999,3,202,2019
107044,5,841,2019
107044,7,278,2019
107044,9,89,2019
107071,1,9,2019
107071,3,8,2019
107071,5,534,2019
107071,7,139,2019
107071,10,43,2019
107080,5,310,2019
107080,7,5,2019
107099,1,2,2019
107099,2,15,2019
107123,3,37,2019
107141,5,437,2019
107141,7,207,2019
107220,1,38,2019
107220,2,112,2019
107293,1,18,2019
107293,2,16,2019
107318,1,265,2019
107318,2,101,2019
107318,3,126,2019
107327,1,163,2019
107327,2,129,2019
107327,3,164,2019
107442,2,21,2019
107460,1,212,2019
107460,2,117,2019
107460,3,276,2019
107488,1,37,2019
107488,2,117,2019
107512,3,16,2019
107512,5,321,2019
107521,1,301,2019
107521,2,166,2019
107521,3,108,2019
107549,1,195,2019
107549,2,263,2019
107549,3,183,2019
107558,5,147,2019
107585,1,92,2019
107585,2,439,2019
107585,3,386,2019
107600,5,81,2019
107619,1,217,2019
107619,2,87,2019
107619,3,131,2019
107637,1,86,2019
107637,2,116,2019
107637,3,164,2019
107655,2,18,2019
107664,1,243,2019
107664,2,502,2019
107664,3,725,2019
107725,1,284,2019
107725,2,269,2019
