UNITID,AWLEVELC,CSTOTLT,YEAR
100654,05,560,2019
100654,07,244,2019
100654,09,6,2019
100663,02,76,2019
100663,05,2523,2019
100663,07,2197,2019
100663,09,565,2019
100663,10,195,2019
100690,03,44,2019
100690,05,42,2019
100690,07,72,2019
100690,09,14,2019
100706,01,12,2019
100706,05,1305,2019
100706,07,528,2019
100706,09,72,2019
100706,10,40,2019
100724,05,510,2019
100724,07,120,2019
100724,09,27,2019
100724,10,6,2019
100751,05,6848,2019
100751,07,1742,2019
100751,09,416,2019
100751,10,20,2019
100760,01,45,2019
100760,02,83,2019
100760,03,210,2019
100812,05,678,2019
100812,07,63,2019
100830,01,5,2019
100830,05,662,2019
100830,07,189,2019
100830,10,22,2019
100858,01,2,2019
100858,05,5156,2019
100858,07,1328,2019
100858,09,521,2019
100858,10,255,2019
100937,05,340,2019
101028,01,148,2019
101028,02,60,2019
101028,03,262,2019
101116,03,39,2019
101116,05,52,2019
101116,07,25,2019
101116,09,7,2019
101143,01,149,2019
101143,02,2,2019
101143,03,180,2019
101161,01,271,2019
101161,02,160,2019
101161,03,742,2019
101189,03,15,2019
101189,05,497,2019
101189,07,214,2019
101189,09,65,2019
101240,01,172,2019
101240,02,244,2019
101240,03,727,2019
101277,01,2,2019
101277,02,50,2019
101286,01,520,2019
101286,02,203,2019
101286,03,598,2019
101295,01,892,2019
101295,02,332,2019
101295,03,979,2019
101301,01,3,2019
101301,02,157,2019
101301,03,209,2019
101365,01,23,2019
101365,02,87,2019
101365,03,107,2019
101365,05,8,2019
101365,07,9,2019
101435,05,254,2019
101453,05,5,2019
101453,07,5,2019
101462,01,81,2019
101462,02,16,2019
101462,03,84,2019
101471,01,462,2019
101471,02,89,2019
101480,05,1308,2019
101480,07,361,2019
101480,09,3,2019
101480,10,41,2019
101505,01,239,2019
101505,02,220,2019
101505,03,865,2019
101514,01,746,2019
101514,02,168,2019
101514,03,1079,2019
101541,03,10,2019
101541,05,48,2019
101569,01,192,2019
101569,02,175,2019
101569,03,337,2019
101587,03,57,2019
101587,05,319,2019
101587,07,848,2019
101587,10,140,2019
101602,01,189,2019
101602,02,67,2019
101602,03,294,2019
101648,03,124,2019
101675,05,230,2019
101693,03,3,2019
101693,05,266,2019
101693,07,72,2019
101709,05,449,2019
101709,07,113,2019
101709,10,19,2019
101736,01,236,2019
101736,02,161,2019
101736,03,423,2019
101879,05,1125,2019
101879,07,439,2019
101879,10,52,2019
101897,01,796,2019
101897,02,80,2019
101897,03,453,2019
101912,03,1,2019
101912,05,288,2019
101912,07,10,2019
101912,10,30,2019
101994,01,17,2019
101994,02,57,2019
101994,03,28,2019
102030,01,302,2019
102030,02,136,2019
102030,03,378,2019
102049,02,8,2019
102049,05,815,2019
102049,07,305,2019
102049,09,381,2019
102049,10,21,2019
102058,03,5,2019
102058,05,13,2019
102058,07,2,2019
102067,01,114,2019
102067,02,120,2019
102067,03,577,2019
102076,01,87,2019
102076,02,23,2019
102076,03,423,2019
102094,01,87,2019
102094,02,18,2019
102094,05,1896,2019
102094,07,1118,2019
102094,09,336,2019
102094,10,99,2019
102234,05,272,2019
102234,07,26,2019
102234,10,13,2019
102270,05,93,2019
102298,05,101,2019
102313,01,117,2019
102313,02,54,2019
102313,03,183,2019
102368,01,2,2019
102368,03,295,2019
102368,05,2372,2019
102368,07,1111,2019
102368,09,25,2019
102368,10,34,2019
102377,05,394,2019
102377,07,102,2019
102377,09,54,2019
102395,05,15,2019
102395,07,39,2019
102395,09,17,2019
102429,01,360,2019
102429,02,194,2019
102429,03,472,2019
102553,01,57,2019
102553,02,53,2019
102553,03,780,2019
102553,05,1142,2019
102553,07,217,2019
102553,09,6,2019
102553,10,41,2019
102580,02,1,2019
102580,05,5,2019
102614,01,86,2019
102614,02,180,2019
102614,03,247,2019
102614,05,595,2019
102614,07,210,2019
102614,09,37,2019
102614,10,50,2019
102632,01,131,2019
102632,02,45,2019
102632,03,93,2019
102632,05,113,2019
102632,07,129,2019
102632,10,42,2019
102669,03,2,2019
102669,05,53,2019
102669,07,47,2019
102669,09,5,2019
102669,10,12,2019
102711,01,37,2019
102711,02,125,2019
102845,02,1561,2019
102845,03,321,2019
102845,05,37,2019
103501,01,69,2019
103501,02,160,2019
103501,03,36,2019
103741,01,1,2019
103741,02,45,2019
103893,01,138,2019
103893,02,649,2019
103893,03,235,2019
103945,03,22,2019
103954,01,20,2019
103954,02,17,2019
103963,01,58,2019
103963,02,359,2019
104090,01,252,2019
104090,03,54,2019
104090,05,146,2019
104090,07,8,2019
104151,01,921,2019
104151,05,9598,2019
104151,07,2647,2019
104151,09,524,2019
104151,10,26,2019
104160,01,511,2019
104160,02,614,2019
104160,03,770,2019
104179,01,123,2019
104179,05,7368,2019
104179,07,2066,2019
104179,09,978,2019
104179,10,179,2019
104188,05,18,2019
104188,07,1,2019
104346,01,381,2019
104346,02,427,2019
104346,03,582,2019
104391,01,5,2019
104391,02,12,2019
104425,01,242,2019
104425,02,339,2019
104425,03,1551,2019
104434,02,27,2019
104443,01,3,2019
104443,02,27,2019
104568,01,99,2019
104568,02,126,2019
104577,01,796,2019
104577,02,189,2019
104577,03,572,2019
104586,05,453,2019
104586,07,21,2019
104665,07,7,2019
104708,01,627,2019
104708,02,1575,2019
104708,03,1807,2019
104717,01,10,2019
104717,05,11283,2019
104717,07,11653,2019
104717,09,512,2019
104717,10,347,2019
105145,01,490,2019
105145,02,291,2019
105145,03,651,2019
105154,01,565,2019
105154,02,1452,2019
105154,03,1918,2019
105206,01,86,2019
105206,02,270,2019
105206,03,322,2019
105215,02,533,2019
105297,01,17,2019
105297,02,2,2019
105297,03,122,2019
105297,05,41,2019
105330,01,453,2019
105330,02,51,2019
105330,05,5975,2019
105330,07,1248,2019
105330,09,194,2019
105330,10,129,2019
105349,01,355,2019
105349,02,85,2019
105349,03,179,2019
105367,05,122,2019
105367,07,117,2019
105428,01,203,2019
105428,02,801,2019
105428,03,1035,2019
105525,01,1185,2019
105525,02,1753,2019
105525,03,2102,2019
105534,01,207,2019
105534,02,389,2019
105534,03,419,2019
105534,05,332,2019
105543,01,91,2019
105543,02,266,2019
105543,03,110,2019
105589,05,104,2019
105589,07,86,2019
105589,09,9,2019
105589,10,16,2019
105659,01,131,2019
105659,02,497,2019
105659,03,46,2019
105668,01,2554,2019
105668,02,881,2019
105668,03,669,2019
105677,01,34,2019
105747,01,86,2019
105747,02,576,2019
105747,03,841,2019
105792,01,63,2019
105792,02,339,2019
105792,03,371,2019
105899,03,2,2019
105899,05,137,2019
106041,02,240,2019
106041,03,830,2019
106111,01,1,2019
106111,02,42,2019
106148,01,719,2019
106148,02,342,2019
106148,03,534,2019
106245,01,25,2019
106245,02,5,2019
106245,03,400,2019
106245,05,1260,2019
106245,07,519,2019
106245,09,160,2019
106245,10,140,2019
106263,02,1,2019
106263,03,56,2019
106263,05,245,2019
106263,07,224,2019
106263,09,327,2019
106263,10,38,2019
106306,03,18,2019
106306,05,22,2019
106315,01,51,2019
106315,02,15,2019
106324,01,4,2019
106324,02,11,2019
106342,05,124,2019
106351,01,9,2019
106351,02,26,2019
106360,02,15,2019
106397,01,5,2019
106397,05,4834,2019
106397,07,1102,2019
106397,09,331,2019
106397,10,198,2019
106412,03,3,2019
106412,05,433,2019
106412,07,25,2019
106412,09,1,2019
106449,01,270,2019
106449,02,477,2019
106449,03,527,2019
106458,01,9,2019
106458,03,539,2019
106458,05,1805,2019
106458,07,1908,2019
106458,09,65,2019
106458,10,637,2019
106467,01,896,2019
106467,02,230,2019
106467,03,1022,2019
106467,05,1281,2019
106467,07,294,2019
106467,09,21,2019
106467,10,50,2019
106485,01,288,2019
106485,02,153,2019
106485,03,379,2019
106485,05,429,2019
106485,07,135,2019
106494,01,1,2019
106494,02,18,2019
106546,02,152,2019
106546,03,265,2019
106625,01,227,2019
106625,02,110,2019
106625,03,199,2019
106704,03,71,2019
106704,05,1741,2019
106704,07,528,2019
106704,09,66,2019
106704,10,52,2019
106713,03,9,2019
106713,05,124,2019
106795,01,173,2019
106795,02,225,2019
106795,03,129,2019
106810,03,10,2019
106810,05,14,2019
106883,01,125,2019
106883,02,230,2019
106883,03,117,2019
106892,01,219,2019
106908,01,5,2019
106908,02,218,2019
106980,01,101,2019
106980,02,251,2019
106980,03,296,2019
106999,01,239,2019
106999,02,125,2019
106999,03,202,2019
107044,05,841,2019
107044,07,278,2019
107044,09,89,2019
107071,01,9,2019
107071,03,8,2019
107071,05,534,2019
107071,07,139,2019
107071,10,43,2019
107080,05,310,2019
107080,07,5,2019
107099,01,2,2019
107099,02,15,2019
107123,03,37,2019
107141,05,437,2019
107141,07,207,2019
107220,01,38,2019
107220,02,112,2019
107293,01,18,2019
107293,02,16,2019
107318,01,265,2019
107318,02,101,2019
107318,03,126,2019
107327,01,163,2019
107327,02,129,2019
107327,03,164,2019
107442,02,21,2019
107460,01,212,2019
107460,02,117,2019
107460,03,276,2019
107488,01,37,2019
107488,02,117,2019
107512,03,16,2019
107512,05,321,2019
107521,01,301,2019
107521,02,166,2019
107521,03,108,2019
107549,01,195,2019
107549,02,263,2019
107549,03,183,2019
107558,05,147,2019
107585,01,92,2019
107585,02,439,2019
107585,03,386,2019
107600,05,81,2019
107619,01,217,2019
107619,02,87,2019
107619,03,131,2019
107637,01,86,2019
107637,02,116,2019
107637,03,164,2019
107655,02,18,2019
107664,01,243,2019
107664,02,502,2019
107664,03,725,2019
107725,01,284,2019
107725,02,269,2019
107725,03,225,2019
107743,01,96,2019
107743,02,75,2019
107743,03,129,2019
107789,02,65,2019
107831,01,4,2019
107831,02,26,2019
107840,03,36,2019
107877,03,1,2019
107877,05,71,2019
107877,07,5,2019
107974,01,215,2019
107974,02,312,2019
107974,03,162,2019
107983,03,375,2019
107983,05,481,2019
107983,07,372,2019
107983,10,8,2019
107992,01,408,2019
107992,02,278,2019
107992,03,136,2019
108065,02,5,2019
108092,01,291,2019
108092,02,129,2019
108092,03,280,2019
108092,05,826,2019
108092,07,5,2019
108232,03,152,2019
108232,05,963,2019
108232,07,1256,2019
108269,07,12,2019
108348,02,37,2019
108649,01,44,2019
108649,02,37,2019
108667,01,38,2019
108667,02,346,2019
108667,03,282,2019
108807,01,502,2019
108807,02,699,2019
108807,03,1065,2019
108852,02,23,2019
108852,03,128,2019
108861,07,8,2019
108861,09,4,2019
108870,07,114,2019
108870,10,9,2019
108977,01,5,2019
108977,02,59,2019
109040,01,97,2019
109040,02,590,2019
109040,03,116,2019
109086,01,53,2019
109086,07,13,2019
109208,01,1434,2019
109208,02,1022,2019
109208,03,2042,2019
109350,01,337,2019
109350,02,896,2019
109350,03,1365,2019
109350,05,9,2019
109651,05,439,2019
109651,07,67,2019
109721,02,259,2019
109730,01,102,2019
109785,01,1,2019
109785,05,1622,2019
109785,07,1229,2019
109785,09,137,2019
